Q_Value Experimental_Intensity Experimental_Error Computed_Intensity
0 -0.427966 9.77265e-05 -0.427999
0.015 -0.431608 0.00166735 -0.431566
0.03 -0.442581 0.00282692 -0.442293
0.045 -0.461015 0.00359643 -0.460254
0.06 -0.486956 0.00476881 -0.485578
0.075 -0.520603 0.00693219 -0.518449
0.09 -0.562266 0.00592926 -0.559115
0.105 -0.612209 0.0069062 -0.607897
0.12 -0.670918 0.0094609 -0.6652
0.135 -0.738824 0.0106341 -0.731526
0.15 -0.816663 0.0118091 -0.807497
0.165 -0.905156 0.0151479 -0.893874
0.18 -1.00516 0.0141532 -0.991582
0.195 -1.1182 0.0140532 -1.10173
0.21 -1.24504 0.0206344 -1.22559
0.225 -1.38754 0.0191488 -1.36451
0.24 -1.54661 0.0172766 -1.51956
0.255 -1.72194 0.0233734 -1.6905
0.27 -1.90866 0.0229782 -1.87313
0.285 -2.0909 0.0242404 -2.05335
0.3 -2.2343 0.0235517 -2.19971
0.315 -2.29723 0.0247321 -2.27154
0.33 -2.27444 0.0237399 -2.25828
0.345 -2.20393 0.0293462 -2.19324
0.36 -2.1236 0.0424778 -2.11468
0.375 -2.05206 0.0319094 -2.04327
0.39 -1.99595 0.0331934 -1.9863
0.405 -1.95538 0.0317989 -1.945
0.42 -1.92944 0.0412513 -1.91839
0.435 -1.91618 0.0312887 -1.90478
0.45 -1.91387 0.0442312 -1.90234
0.465 -1.9202 0.0365215 -1.90921
0.48 -1.93358 0.040853 -1.92357
0.495 -1.95194 0.0356191 -1.94355
0.51 -1.97375 0.0367112 -1.9673
0.525 -1.99696 0.0412445 -1.99296
0.54 -2.01988 0.0388798 -2.01878
0.555 -2.04126 0.039946 -2.04321
0.57 -2.0602 0.0523081 -2.06508
0.585 -2.07635 0.0460068 -2.08373
0.6 -2.08902 0.03924 -2.09905
0.615 -2.09949 0.0524198 -2.11148
0.63 -2.10792 0.0412274 -2.12186
0.645 -2.11585 0.0464409 -2.13131
0.66 -2.12427 0.0519054 -2.14102
0.675 -2.1339 0.0486389 -2.1521
0.69 -2.14625 0.0588842 -2.16552
0.705 -2.16117 0.0648632 -2.182
0.72 -2.1797 0.0566931 -2.202
0.735 -2.20149 0.0578668 -2.22565
0.75 -2.22701 0.0540908 -2.25278
