Q_Value Experimental_Intensity Experimental_Error Computed_Intensity
0 -0.427966 9.77265e-05 -0.562111
0.015 -0.431608 0.00166735 -0.565478
0.03 -0.442581 0.00282692 -0.575599
0.045 -0.461015 0.00359643 -0.592527
0.06 -0.486956 0.00476881 -0.616355
0.075 -0.520603 0.00693219 -0.647215
0.09 -0.562266 0.00592926 -0.68528
0.105 -0.612209 0.0069062 -0.73077
0.12 -0.670918 0.0094609 -0.783952
0.135 -0.738824 0.0106341 -0.845146
0.15 -0.816663 0.0118091 -0.914723
0.165 -0.905156 0.0151479 -0.993109
0.18 -1.00516 0.0141532 -1.08077
0.195 -1.1182 0.0140532 -1.17819
0.21 -1.24504 0.0206344 -1.28581
0.225 -1.38754 0.0191488 -1.4039
0.24 -1.54661 0.0172766 -1.5323
0.255 -1.72194 0.0233734 -1.66992
0.27 -1.90866 0.0229782 -1.81387
0.285 -2.0909 0.0242404 -1.95799
0.3 -2.2343 0.0235517 -2.09117
0.315 -2.29723 0.0247321 -2.19723
0.33 -2.27444 0.0237399 -2.25964
0.345 -2.20393 0.0293462 -2.27117
0.36 -2.1236 0.0424778 -2.23943
0.375 -2.05206 0.0319094 -2.18102
0.39 -1.99595 0.0331934 -2.1119
0.405 -1.95538 0.0317989 -2.04293
0.42 -1.92944 0.0412513 -1.98008
0.435 -1.91618 0.0312887 -1.92611
0.45 -1.91387 0.0442312 -1.88203
0.465 -1.9202 0.0365215 -1.84794
0.48 -1.93358 0.040853 -1.82355
0.495 -1.95194 0.0356191 -1.80841
0.51 -1.97375 0.0367112 -1.80204
0.525 -1.99696 0.0412445 -1.80398
0.54 -2.01988 0.0388798 -1.81381
0.555 -2.04126 0.039946 -1.83115
0.57 -2.0602 0.0523081 -1.85565
0.585 -2.07635 0.0460068 -1.88696
0.6 -2.08902 0.03924 -1.92473
0.615 -2.09949 0.0524198 -1.96851
0.63 -2.10792 0.0412274 -2.01777
0.645 -2.11585 0.0464409 -2.07182
0.66 -2.12427 0.0519054 -2.1297
0.675 -2.1339 0.0486389 -2.19019
0.69 -2.14625 0.0588842 -2.25168
0.705 -2.16117 0.0648632 -2.3122
0.72 -2.1797 0.0566931 -2.36948
0.735 -2.20149 0.0578668 -2.42112
0.75 -2.22701 0.0540908 -2.4649
