Q_Value Experimental_Intensity Experimental_Error Computed_Intensity
0 -0.427966 9.77265e-05 -0.501262
0.015 -0.431608 0.00166735 -0.504828
0.03 -0.442581 0.00282692 -0.51555
0.045 -0.461015 0.00359643 -0.533504
0.06 -0.486956 0.00476881 -0.558815
0.075 -0.520603 0.00693219 -0.591665
0.09 -0.562266 0.00592926 -0.632298
0.105 -0.612209 0.0069062 -0.681023
0.12 -0.670918 0.0094609 -0.738224
0.135 -0.738824 0.0106341 -0.804372
0.15 -0.816663 0.0118091 -0.88003
0.165 -0.905156 0.0151479 -0.965868
0.18 -1.00516 0.0141532 -1.06266
0.195 -1.1182 0.0140532 -1.17128
0.21 -1.24504 0.0206344 -1.29261
0.225 -1.38754 0.0191488 -1.42741
0.24 -1.54661 0.0172766 -1.57587
0.255 -1.72194 0.0233734 -1.73663
0.27 -1.90866 0.0229782 -1.90479
0.285 -2.0909 0.0242404 -2.06833
0.3 -2.2343 0.0235517 -2.20469
0.315 -2.29723 0.0247321 -2.28557
0.33 -2.27444 0.0237399 -2.29677
0.345 -2.20393 0.0293462 -2.25252
0.36 -2.1236 0.0424778 -2.18106
0.375 -2.05206 0.0319094 -2.10479
0.39 -1.99595 0.0331934 -2.03558
0.405 -1.95538 0.0317989 -1.97812
0.42 -1.92944 0.0412513 -1.93352
0.435 -1.91618 0.0312887 -1.90128
0.45 -1.91387 0.0442312 -1.88029
0.465 -1.9202 0.0365215 -1.86918
0.48 -1.93358 0.040853 -1.86656
0.495 -1.95194 0.0356191 -1.87104
0.51 -1.97375 0.0367112 -1.88128
0.525 -1.99696 0.0412445 -1.89603
0.54 -2.01988 0.0388798 -1.91418
0.555 -2.04126 0.039946 -1.93474
0.57 -2.0602 0.0523081 -1.95697
0.585 -2.07635 0.0460068 -1.98036
0.6 -2.08902 0.03924 -2.00464
0.615 -2.09949 0.0524198 -2.02981
0.63 -2.10792 0.0412274 -2.05607
0.645 -2.11585 0.0464409 -2.08376
0.66 -2.12427 0.0519054 -2.11331
0.675 -2.1339 0.0486389 -2.14514
0.69 -2.14625 0.0588842 -2.1796
0.705 -2.16117 0.0648632 -2.21692
0.72 -2.1797 0.0566931 -2.25712
0.735 -2.20149 0.0578668 -2.29998
0.75 -2.22701 0.0540908 -2.345
