Q_Value Experimental_Intensity Experimental_Error Computed_Intensity
0 634600 142.8 642037
0.015 629300 2416 636632
0.03 613600 3994 620656
0.045 588100 4870 594793
0.06 554000 6083 560145
0.075 512700 8183 518153
0.09 465800 6359 470521
0.105 415200 6602 419105
0.12 362700 7900 365815
0.135 310200 7594 312507
0.15 259300 7049 260890
0.165 211500 7374 212442
0.18 168000 5473 168352
0.195 129500 4189 129480
0.21 96700 4591 96345.3
0.225 69650 3069 69133.2
0.24 48290 1920 47725.5
0.255 32250 1734 31745.3
0.27 20980 1109 20615
0.285 13790 768.9 13619.5
0.3 9912 537 9970.32
0.315 8575 487.8 8865.31
0.33 9037 493.5 9540.73
0.345 10630 717.2 11312.1
0.36 12790 1247 13602.4
0.375 15080 1106 15958.2
0.39 17160 1309 18053
0.405 18840 1377 19680.6
0.42 20000 1894 20741.4
0.435 20620 1483 21222.6
0.45 20730 2104 21175.8
0.465 20430 1714 20695.7
0.48 19810 1858 19898.6
0.495 18990 1554 18905.8
0.51 18060 1523 17829.7
0.525 17120 1621 16764.5
0.54 16240 1450 15781.1
0.555 15460 1418 14925.1
0.57 14800 1774 14217.6
0.585 14260 1505 13658.6
0.6 13850 1248 13230.7
0.615 13520 1624 12904.7
0.63 13260 1255 12644.2
0.645 13020 1387 12410.8
0.66 12770 1519 12168.1
0.675 12490 1393 11885.8
0.69 12140 1636 11541.8
0.705 11730 1739 11124
0.72 11240 1459 10631.5
0.735 10690 1416 10073.5
0.75 10080 1249 9468.36
