bcl::storage::Table<double>   subunits nr_coordinates   rgyr_sqr 
1A12                                 3           1203    965.491 
1A1X                                 2            212    390.611 
1A34                                60           8820    5394.38 
1A3A                                 2            291    356.182 
1A3C                                 2            332    434.194 
1A4I                                 2            580        645 
1A53                                 1            247    275.479 
1A62                                 1            125    220.935 
1A73                                 2            324    581.756 
1A8D                                 1            452    628.687 
1A8L                                 2            452    594.337 
1A92                                 8            398    1693.87 
1A9X                                 8           5748    5247.37 
1ABA                                 1             87    159.682 
1AE9                                 6           1005    1366.92 
1AH7                                 1            245    311.178 
1AHO                                 1             64     118.26 
1AK0                                 1            264    317.148 
1AL3                                 1            237    359.828 
1ALU                                 2            314    427.691 
1AMF                                 1            231    321.301 
1AOC                                 2            350    594.036 
1AOL                                 1            228    341.237 
1AOP                                 1            456    466.667 
1AQZ                                 1            142    218.361 
1ARB                                 1            263    285.692 
1ATG                                 1            231    317.084 
1ATZ                                 1            184    223.501 
1AYO                                 2            260    447.559 
1AZO                                 1            214    342.499 
1B0N                                 2            134    270.968 
1B12                                 1            239    369.595 
1B3A                                 1             67    157.948 
1B43                                 2            678    721.767 
1B4F                                16           1198    2736.76 
1B5E                                 4            964    1265.15 
1B6A                                 1            355    402.831 
1B8Z                                 2            134    192.378 
1B9W                                 1             91     181.01 
1BAZ                                 4            176    328.809 
1BEA                                 1            116    189.408 
1BF2                                 1            750    765.235 
1BGC                                 1            158     256.02 
1BGF                                 2            248    405.454 
1BKR                                 1            108    162.661 
1BM8                                 1             99    151.349 
1BRT                                 3            831    779.894 
1BTK                                 2            329     594.05 
1BTN                                 2            212    378.023 
1BU8                                 1            446    629.982 
1BUP                                 1            378    440.036 
1BX7                                 1             51    163.148 
1BXY                                 2            120    385.283 
1BYI                                 2            448    522.242 
1BYR                                 2            304    339.832 
1C1D                                 2            697    1301.46 
1C1K                                 1            217    354.844 
1C1L                                 2            270    416.254 
1C1Y                                 2            244     355.64 
1C3C                                 4           1696    1299.68 
1C4O                                 1            504    670.387 
1C4Q                                 5            345    447.713 
1C5E                                 3            285    336.457 
1C75                                 1             71    116.787 
1C7K                                 1            132    187.544 
1C7S                                 2           1716    1685.22 
1C96                                 1            753    631.951 
1CB8                                 1            674    763.377 
1CC8                                 1             72    128.592 
1CCW                                 4           1240    1095.42 
1CDC                                 2            192    341.371 
1CEO                                 1            332    398.802 
1CEW                                 1            108    218.062 
1CFB                                 1            205    557.932 
1CHD                                 1            198    226.238 
1CHM                                 2            802     664.79 
1CI4                                 2            177    269.629 
1CL8                                 2            522    619.123 
1CMC                                 2            208    311.164 
1COZ                                 2            252    402.493 
1CQ3                                 2            448    601.352 
1CQM                                 1             98    176.293 
1CQQ                                 1            180    224.229 
1CQY                                 1             99    174.164 
1CS1                                 4           1536     1103.8 
1CTF                                 2            136    210.401 
1CUJ                                 1            197    232.964 
1CV8                                 2            346     520.33 
1CVR                                 2            432    456.879 
1CXQ                                 2            286    362.781 
1CY5                                 1             92    142.467 
1CZP                                 1             98    145.312 
1CZY                                 5            518    685.386 
1D02                                 2            397    549.311 
1D0C                                 2            830    863.911 
1D0D                                 2            118    368.253 
1D0Q                                 2            204    420.123 
1D2N                                 6           1476     1510.3 
1D2O                                 2            374    661.403 
1D2S                                 2            340    469.737 
1D2T                                 6           1332    1245.83 
1D2V                                 4           1140    1122.11 
1D3B                                 2            153    256.429 
1D3Y                                 2            579    599.655 
1D4O                                 1            177    222.656 
1D4T                                 2            115    176.098 
1D5T                                 1            433    507.089 
1D8H                                 2            576    756.037 
1D8W                                 4           1608    1094.56 
1DC1                                 2            621     730.44 
1DCI                                 6           1650    1058.68 
1DCS                                 3            837    777.866 
1DD9                                 1            310    524.926 
1DDW                                 1            111    181.994 
1DEK                                 2            472    629.386 
1DEU                                 1            238    318.248 
1DF4                                 3            171    257.202 
1DFM                                 2            441    531.505 
1DFU                                 1             94    164.293 
1DG6                                 3            447    440.601 
1DGW                                 9           1038     1069.1 
1DJ0                                 2            528     636.62 
1DJ7                                 2            182    312.708 
1DJ8                                 2            158    226.212 
1DK8                                 2            294    490.509 
1DLW                                 1            116    183.577 
1DMG                                 1            172    265.459 
1DNL                                 2            398    489.146 
1DOW                                 2            237    683.653 
1DP4                                 2            858    1015.14 
1DP7                                 2            152    477.534 
1DQG                                 1            134    178.214 
1DQP                                 2            460    478.569 
1DQT                                 2            234    306.863 
1DQZ                                 2            560    715.766 
1DS1                                 1            323     375.77 
1DTD                                 2            364    405.779 
1DUV                                 3            999    928.581 
1DVO                                 1            152    550.779 
1DWK                                10           1560    1042.39 
1DY5                                 1            124    208.705 
1DZF                                 1            211    349.593 
1DZK                                 1            148    208.576 
1E29                                 1            135    205.276 
1E2K                                 2            624    587.182 
1E2W                                 2            251    540.105 
1E4C                                 4            824    765.879 
1E4F                                 1            378    523.827 
1E58                                 2            492    629.121 
1E5K                                 1            188    242.536 
1E6U                                 2            630     726.67 
1E7L                                 2            314     738.35 
1E8C                                 1            495    574.724 
1E8Y                                 1            841    828.901 
1EAQ                                 1            124    208.764 
1EAR                                 2            284     681.39 
1EAY                                 2            195    308.218 
1EB6                                 1            177    226.927 
1ECA                                 1            136    220.799 
1EER                                 3            592    833.622 
1EEX                                 6           1732    1367.32 
1EF1                                 4            768    900.327 
1EF8                                 3            759    701.261 
1EFD                                 1            262    367.686 
1EG3                                 1            260    349.347 
1EGW                                 2            143    252.575 
1EJD                                 1            419    486.776 
1EJG                                 1             46    100.418 
1EKQ                                 3            762    649.183 
1EL6                                 3            624     827.89 
1ELK                                 1            153    220.747 
1ELU                                 2            762    728.614 
1ELW                                 2            125     196.99 
1EOK                                 1            282     326.48 
1EQ2                                 5           1452    1510.39 
1ERZ                                 4           1212    906.684 
1ES5                                 1            260    309.473 
1ES9                                 2            424     477.06 
1EU1                                 1            767    679.303 
1EUV                                 2            300    374.681 
1EUW                                 3            408    425.662 
1EVL                                 2            802     759.54 
1EW4                                 1            106    182.473 
1EWF                                 1            456    1250.67 
1EX0                                 2           1421    1291.42 
1EX2                                 2            370    637.145 
1EXT                                 2            318    804.408 
1EYB                                 6           2514    1406.34 
1EYH                                 1            144     230.66 
1EYQ                                 1            212    267.272 
1EZ3                                 1            124    370.472 
1EZG                                 2            164    211.738 
1EZI                                 2            429    688.949 
1EZJ                                 4            456    1071.79 
1EZW                                 4           1388    1082.77 
1F00                                 1            282    967.342 
1F0X                                 1            502    530.867 
1F1E                                 2            302    393.708 
1F1M                                 2            324    440.747 
1F2D                                 2            682    586.041 
1F2L                                 4            262    417.159 
1F2T                                 2            288    420.213 
1F32                                 1            127    283.114 
1F3U                                 2            257     558.01 
1F3V                                 2            329    450.525 
1F46                                 2            279    423.254 
1F5N                                 1            570    1537.92 
1F5V                                 2            480    461.026 
1F60                                 2            530    564.446 
1F86                                 2            230    307.457 
1F8E                                 4           1552    1177.49 
1F94                                 1             63    134.883 
1F9V                                 1            313    387.277 
1FC3                                 3            336    629.993 
1FCQ                                 1            314    409.762 
1FD0                                 1            235    320.133 
1FD3                                 2             81    150.089 
1FIP                                 4            154    257.505 
1FIT                                 2            252    332.716 
1FIU                                 3            858    873.019 
1FJ2                                 1            229    264.354 
1FK5                                 1             93    153.056 
1FKM                                 1            322    420.136 
1FL0                                 1            164    227.519 
1FLM                                 2            244    304.003 
1FM0                                 2            223    366.493 
1FN9                                 2            730    834.448 
1FO8                                 1            330    415.395 
1FOB                                 1            334      364.2 
1FP2                                 2            690     854.65 
1FPO                                 1            171    436.511 
1FS7                                 2            942    1085.39 
1FSG                                 4            932    768.858 
1FT5                                 1            211    327.072 
1FTR                                 4           1184    838.859 
1FVI                                 1            264    424.025 
1FX2                                 2            470    614.892 
1FXO                                 4           1169      963.9 
1FYE                                 1            220    269.149 
1G12                                 1            167    230.665 
1G1T                                 1            157    290.332 
1G2R                                 1             94    168.987 
1G3K                                12           2076    1467.83 
1G3P                                 1            191    337.903 
1G4M                                 1            356     644.28 
1G4Y                                 4            456    702.002 
1G5A                                 1            628    635.538 
1G5H                                 2            802    763.068 
1G60                                 2            466    583.486 
1G61                                 1            225    253.383 
1G66                                 1            207    237.987 
1G6H                                 1            254    335.334 
1G6U                                 2             96    244.293 
1G6X                                 1             58    122.143 
1G73                                 2            246    604.863 
1G7S                                 1            576    1210.44 
1G8E                                 2            178     282.48 
1G8K                                 2            955    806.876 
1G8L                                 2            806    1015.29 
1G8M                                 2           1180    1143.93 
1G8Q                                 2            176    273.059 
1G9G                                 1            629    549.402 
1GA6                                 2            369    346.983 
1GA8                                 1            278    319.743 
1GAK                                 1            137    260.392 
1GBS                                 1            185    225.367 
1GCI                                 1            269    263.287 
1GD2                                 2            129    771.968 
1GK9                                 2            765    712.775 
1GKM                                 4           2036    1199.36 
1GKP                                 4           1832    1337.26 
1GL2                                 4            229     647.99 
1GMU                                 1            138    309.694 
1GMX                                 1            107    163.549 
1GNL                                 1            543    510.659 
1GNY                                 1            153    225.642 
1GO3                                 2            284    466.251 
1GOT                                 3            735     842.73 
1GP0                                 1            133    214.749 
1GP6                                 1            349     403.07 
1GPP                                 1            217    428.381 
1GPR                                 2            316    418.397 
1GQE                                 1            362    556.879 
1GQI                                 2           1416    1153.98 
1GS5                                 2            516    556.016 
1GS9                                 1            144    335.495 
1GSA                                 4           1256    1042.86 
1GTF                                11            756    902.518 
1GTK                                 1            294    373.159 
1GTT                                 1            421     458.61 
1GTV                                 2            416    598.212 
1GU2                                 1            124    206.099 
1GU4                                 4            264    915.925 
1GU7                                 2            728    1024.09 
1GUD                                 1            288    439.958 
1GUQ                                 2            691    625.042 
1GUT                                 6            402    381.777 
1GV9                                 1            223    256.214 
1GVD                                 1             52    101.963 
1GVJ                                 2            287    451.391 
1GVN                                 4            714    971.997 
1GVP                                 2            174    348.786 
1GWE                                 4           1992       1278 
1GWM                                 1            153    233.493 
1GWU                                 1            306    363.657 
1GWY                                 1            175    222.151 
1GXM                                 1            324    392.233 
1GXR                                 2            659    1026.66 
1GXU                                 6            528    582.546 
1GXY                                 1            223    287.443 
1GY7                                 2            243    316.919 
1GYX                                 2            152    226.268 
1H03                                 1            125    508.095 
1H05                                12           1656    1262.82 
1H0H                                 2           1191    889.463 
1H16                                 2           1518    1418.34 
1H1N                                 1            305     322.69 
1H2C                                 8            992    1088.31 
1H2V                                 2            815    908.617 
1H32                                 2            394    571.704 
1H4A                                 1            173    268.084 
1H4G                                 1            206    245.774 
1H4R                                 2            588    848.801 
1H4X                                 1            111    166.318 
1H65                                 2            514    634.992 
1H6F                                 2            370    631.074 
1H6L                                 1            353    355.278 
1H72                                 2            592    727.411 
1H7C                                 1            103    372.849 
1H8P                                 4            352    711.184 
1H97                                 1            147    225.592 
1H99                                 2            440    521.639 
1HBN                                 6           2464    1403.11 
1HDH                                 1            524    475.076 
1HDO                                 1            205    247.977 
1HE1                                 2            311    380.126 
1HF8                                 2            526    669.762 
1HFE                                 2            484     438.86 
1HH8                                 1            192    305.322 
1HM9                                 3           1374    1282.08 
1HN0                                 1            971    1149.02 
1HP1                                 1            516    585.007 
1HQ0                                 1            295    321.973 
1HQ1                                 1             76     142.05 
1HQS                                 2            846    762.075 
1HTR                                 4            744    720.422 
1HUF                                 1            123    180.471 
1HUW                                 2            332    463.508 
1HX0                                 1            496    533.013 
1HX1                                 2            489    619.023 
1HX6                                 3           1115     931.55 
1HXI                                 1            112    221.451 
1HXN                                 1            209    266.949 
1HXR                                 1            107    162.705 
1HYO                                 2            835    755.541 
1HYP                                 1             75    131.439 
1HZ4                                 2            732    1012.14 
1HZ6                                 1             67    155.334 
1HZT                                 1            153     210.18 
1I0R                                 2            329    383.774 
1I0V                                 1            104    159.156 
1I12                                 2            308    399.431 
1I1J                                 1            106    177.278 
1I1W                                 1            303    339.514 
1I24                                 2            782    763.739 
1I27                                 1             73     149.55 
1I2A                                 1            212     371.27 
1I2K                                 2            538    598.828 
1I2T                                 1             61    118.091 
1I36                                 2            516    871.466 
1I3C                                 2            284    347.815 
1I4J                                 2            220    384.296 
1I4U                                 2            361     461.91 
1I52                                 2            450    589.213 
1I58                                 2            364      542.5 
1I60                                 1            278    316.577 
1I6L                                 2            652    910.171 
1I71                                 1             83    156.449 
1I7W                                 4           1120    1883.51 
1I88                                 2            778    1890.12 
1I8A                                 1            189    234.656 
1I8O                                 1            114    182.098 
1IAP                                 1            190    294.884 
1IBY                                 3            336    361.018 
1IC2                                 2            156    1161.14 
1IDP                                 3            441    480.013 
1IFR                                 1            113     174.13 
1IG0                                 2            636    643.993 
1IGQ                                 2            111    178.413 
1IHZ                                 1            136      201.8 
1II5                                 2            442    538.436 
1IIB                                 1            103    156.527 
1IJB                                 1            202    245.508 
1IJY                                 2            244    440.943 
1IM5                                 1            179    230.585 
1IN4                                 1            298     466.57 
1INL                                 4           1151    1204.14 
1IO0                                 1            166    247.021 
1IOM                                 2            748    753.858 
1IQZ                                 1             81    128.555 
1IRQ                                 2             97    172.276 
1ISU                                 2            124    223.406 
1ITV                                 2            390    617.807 
1ITX                                 1            419    441.704 
1IUQ                                 1            357    436.363 
1IWL                                 1            177    251.562 
1IWM                                 1            177    255.945 
1IX9                                 2            410    503.746 
1IZC                                 6           1794    1113.31 
1IZM                                 2            340    503.569 
1J0H                                 2           1176    1080.16 
1J0P                                 1            108    203.953 
1J1T                                 1            228    273.464 
1J24                                 2            266    347.299 
1J27                                 1             98    204.559 
1J2J                                 2            206    278.143 
1J2L                                 1             68    203.631 
1J2R                                 4            748    665.653 
1J30                                 2            278    357.803 
1J34                                 3            298    442.219 
1J3A                                 1            129     206.29 
1J3W                                 4            535    572.098 
1J5P                                 2            470     530.58 
1J5U                                 1            127    265.417 
1J5W                                 2            554     513.43 
1J77                                 1            199    272.257 
1J7X                                 1            302    496.123 
1J83                                 1            180     230.86 
1J8B                                 2            184    423.426 
1J8R                                 1            196    372.473 
1J98                                 2            308      336.3 
1JA1                                 1            616    676.745 
1JB7                                 2            676    854.371 
1JBE                                 1            126    175.879 
1JBO                                12           1998    1699.18 
1JCD                                 3            152    502.886 
1JDH                                 2            546    1112.78 
1JDW                                 2            720    753.293 
1JE5                                 2            363    477.907 
1JEK                                 6            222    359.866 
1JET                                 2            517    531.097 
1JF3                                 1            147    216.721 
1JF8                                 1            130    189.015 
1JFB                                 1            399     446.62 
1JFR                                 1            260    276.232 
1JG1                                 1            215    259.795 
1JH6                                 1            181    269.384 
1JHF                                 2            308    605.507 
1JHG                                 2            202    339.997 
1JHJ                                 1            161    229.598 
1JHS                                 1            188    271.521 
1JI7                                 3            239    462.972 
1JID                                 1            114    198.519 
1JIW                                 2            575    722.344 
1JIX                                 1            351    443.488 
1JKE                                 2            290    324.689 
1JKX                                 2            418    635.618 
1JL0                                 2            621    751.459 
1JL1                                 1            152    229.219 
1JM0                                 2             96    171.383 
1JMK                                 2            452    626.787 
1JMV                                 2            277    391.485 
1JMX                                 3            908    977.578 
1JND                                 1            400     429.62 
1JNI                                 1             62    147.235 
1JO0                                 1             97    169.467 
1JOS                                 1            100    187.929 
1JOV                                 1            269    314.275 
1JQ5                                 8           2928    1936.71 
1JR2                                 1            260    470.618 
1JR7                                 4           1224    1354.27 
1JR8                                 2            210    278.899 
1JU3                                 1            570     583.18 
1JUV                                 2            386    504.554 
1JWQ                                 1            179    221.792 
1JX4                                 1            341    510.864 
1JX6                                 1            338     401.51 
1JY1                                 1            439    456.876 
1JY2                                 6            278      539.2 
1JYA                                 2            238    352.885 
1JYE                                 2            542    658.542 
1JYH                                 1            155    250.276 
1JYK                                 1            229    282.084 
1JYO                                 6            726     1399.5 
1JZT                                 1            243    289.611 
1K04                                 2            284    616.227 
1K07                                 1            262    309.583 
1K0M                                 1            235    362.871 
1K2X                                 4            582    524.709 
1K32                                 6           6138    3530.42 
1K3S                                 2            215    317.636 
1K3X                                 1            253    409.213 
1K3Y                                 2            442    470.947 
1K4I                                 2            432    438.724 
1K4N                                 1            183    271.308 
1K55                                 2            491    588.606 
1K5C                                 1            333    399.825 
1K5N                                 3            385    525.431 
1K77                                 1            260    308.632 
1K7C                                 1            233    286.435 
1K7J                                 1            206    252.292 
1K7W                                 4           1795    1300.92 
1K8K                                 7           1709    1928.77 
1K8W                                 1            303    509.036 
1K92                                 4           1776    1226.77 
1KA1                                 1            354    378.697 
1KAE                                 2            868    815.117 
1KAF                                 1            108    168.028 
1KCM                                 2            512    792.587 
1KGD                                 1            175    286.664 
1KHX                                 3            609    630.221 
1KHY                                 1            132    181.752 
1KID                                 1            193    274.712 
1KJQ                                 2            773    792.711 
1KKO                                 2            822    687.401 
1KLX                                 1            133    255.925 
1KMJ                                 2            808    726.758 
1KMT                                 1            138    251.682 
1KMV                                 1            185    254.217 
1KNG                                 1            144    193.949 
1KOE                                 1            172    213.045 
1KOL                                 4           1584    1058.52 
1KP6                                 1             79    139.001 
1KPT                                 2            210    325.609 
1KQ1                                 6            369     478.91 
1KQ6                                 1            140     262.55 
1KQP                                 2            542    538.854 
1KQR                                 1            160    218.576 
1KS8                                 1            433    410.592 
1KS9                                 1            291    369.307 
1KSH                                 2            307    425.238 
1KT6                                 1            175    257.002 
1KU3                                 1             61     132.15 
1KV7                                 1            463    435.888 
1KVE                                 2            140    192.882 
1KW4                                 1             70    122.438 
1KWA                                 1             88    158.077 
1KWF                                 1            363    352.972 
1KXO                                 1            163    235.052 
1KYF                                 2            252    417.669 
1KZF                                 1            198    280.286 
1KZQ                                 2            506    689.609 
1L1E                                 1            272    339.986 
1L1L                                 1            717    685.365 
1L2P                                 1             61    709.264 
1L2W                                 3            296     396.65 
1L3K                                 1            163     365.64 
1L3L                                 2            458    585.523 
1L3P                                 2            204    378.548 
1L5O                                 2            692    700.101 
1L6P                                 1            121    257.028 
1L6R                                 2            450    503.513 
1L7A                                 6           1908    1352.28 
1L7D                                 2            712    859.478 
1L7L                                 4            484    736.975 
1L9L                                 1             74    132.298 
1L9X                                 1            288    319.445 
1LBU                                 1            213    288.817 
1LC0                                 1            290    399.533 
1LC5                                 2            710    715.556 
1LDD                                 4            296    396.485 
1LFP                                 1            243    329.284 
1LFW                                 1            468    548.452 
1LKF                                 1            292    490.105 
1LKI                                 1            172    277.324 
1LKK                                 2            105    179.978 
1LL2                                 2            510     666.23 
1LLF                                 2           1068    997.347 
1LLM                                 2            172     654.29 
1LM5                                 2            382    488.839 
1LM8                                 4            358    593.466 
1LMI                                 1            131    206.257 
1LML                                 1            465     532.55 
1LNI                                 1             96    158.403 
1LO7                                 4            560    548.107 
1LQT                                 1            452    550.927 
1LQV                                 2            205    348.463 
1LR5                                 2            320    402.566 
1LS1                                 1            289    474.109 
1LSH                                 2           1129    1243.26 
1LSL                                 1            113    980.694 
1LST                                 1            239    314.438 
1LTZ                                 1            274    339.836 
1LU4                                 1            134    185.902 
1LUC                                 2            646    665.689 
1LUZ                                 1             85    160.316 
1LV7                                 1            251    428.503 
1LWB                                 1            122    218.838 
1LXJ                                 4            416    391.235 
1LYQ                                 1            101    183.879 
1LYV                                 1            283    336.622 
1LZL                                 1            317    332.497 
1M0D                                 2            258    670.813 
1M0W                                 2            960     1090.8 
1M15                                 1            356    407.697 
1M1F                                 2            212     273.99 
1M1H                                 1            182    387.339 
1M1N                                 4           1998    1440.98 
1M1Q                                 1             90    197.294 
1M22                                 2            974    1170.06 
1M2D                                 2            202    280.675 
1M40                                 1            263    302.067 
1M48                                 1            123    217.043 
1M4J                                 2            266     341.15 
1M4L                                 1            307     329.81 
1M55                                 1            193    281.481 
