bcl::storage::Table<double>                                     nr_aa  nr_aa_def  nr_aa_sse nr_aa_helix nr_aa_strand     nr_sse   nr_helix  nr_strand         co    rco_seq    rco_aas        cr6       cr12       cr24    cr6_mcc   cr12_mcc   cr24_mcc topology_f topology_tpr topology_ppv completeness       RMSD    RMSD100     GDT_TS GDT_TS_norm GDT_TS_sse_norm     GDT_1A GDT_1A_norm GDT_1A_sse_norm     GDT_2A GDT_2A_norm GDT_2A_sse_norm     GDT_4A GDT_4A_norm GDT_4A_sse_norm     GDT_8A GDT_8A_norm GDT_8A_sse_norm   aasmooth    aaclash     aadist aa_clash_hires aa_pair_interaction    aaneigh aaneigh_ent       loop loop_angle loop_closure loop_closure_gradient    phi_psi sse_linear_loop_proximity ss_PSIPRED ss_PSIPRED_ent    ss_JUFO ss_JUFO_ent       rgyr   co_score ssepack_fr  strand_fr sse_completeness all_sse_chirality_aa all_sse_chirality_contact_aa sse_contact_type sse_contact_adjacency sse_orientation sse_interaction_angle_overlap   ssealign ss_PSIPRED_env ss_JUFO_env  CCCScaled sse_inter_atom_clash sse_intra_atom_clash bcl::score::LoopClosure phipsi_coil sse_pair_gap sse_connectivity bcl::score::ProteinModelLoopDomainClosure phipsi_sspred_close aaneighvector    sasaols    ssepack     strand        sum 
example/example_files/input/cluster/cluster_0001_final.pdb         76         42         42          12           30          5          1          4    30.0811   0.395804   0.395804    25.3731    22.0183       22.5   0.346925   0.311159   0.312812          0            0            0     0.552632    10.4067    18.3783    42.2619     23.3553         23.3553    28.5714     15.7895         15.7895    30.9524     17.1053         17.1053    45.2381          25              25    64.2857     35.5263         35.5263   -46.7873     2.2758    52.6911        4.24992                   0    2.86081           0   -2.50407   -6.91143            0                     0   -10.6786                         0   -52.6234              0   -51.6978           0   -18.1591   -101.108    -8.1525   -3.10788                0             -9.36847                     -25.3299          24.9703               14.9666        -8.79899                      -2.16889          0         -75.78         -76   -26.4015              3.33423                    0                0.454571     -9.6278            0                0                                         0            -102.456       3.26502    18.2632    -1.9568   -2.26494   -514.552 
example/example_files/input/cluster/cluster_0002_final.pdb         76         42         42          12           30          5          1          4    29.8676   0.392995   0.392995    27.6119    26.6055      28.75   0.392691   0.394688   0.413734          0            0            0     0.552632    5.92796    10.4688    64.2857     35.5263         35.5263    30.9524     17.1053         17.1053    64.2857     35.5263         35.5263    76.1905     42.1053         42.1053    85.7143     47.3684         47.3684     -65.09    5.67184    115.205        5.68883                   0    0.51492           0   -2.46705   -6.90002            0                     0    -10.729                         0   -52.6234              0   -51.6978           0   -20.4323   -101.722   -10.1919   -1.51541                0             -18.7501                     -13.6182          19.7631               7.48422         24.2313                      -3.78002          0         -75.78         -76   -49.8592              5.17615                    0                0.590027    -9.67819            0                0                                         0            -102.506       1.07987    16.9503   -2.58359   -3.33227   -476.902 
example/example_files/input/cluster/cluster_0003_final.pdb         76         42         42          12           30          5          1          4    29.6447   0.390062   0.390062    24.6269    23.8532         30   0.320962     0.3484    0.41501          0            0            0     0.552632    8.90457    15.7255    51.7857     28.6184         28.6184    28.5714     15.7895         15.7895    45.2381          25              25    61.9048     34.2105         34.2105    71.4286     39.4737         39.4737   -60.5076    2.88333    62.9959        3.13264                   0    4.94258           0   -1.56374   -6.26397            0                     0   -10.7639                         0   -52.6234              0   -51.6978           0     -16.81   -102.343   -13.0673    2.05355                0            -0.799044                      -4.1354         -13.4316               5.07899          22.066                      -3.31204          0         -75.78         -76   -49.0135                    4                    0                 1.45077    -9.71316            0                0                                         0            -102.538       4.32678    16.8827   -3.25568   -4.04479   -527.851 
example/example_files/input/cluster/cluster_0004_final.pdb         76         42         42          12           30          5          1          4     31.125   0.409539   0.409539    11.9403    9.17431      11.25   0.154649   0.120121   0.153927          0            0            0     0.552632    11.4975    20.3047    38.0952     21.0526         21.0526    28.5714     15.7895         15.7895    28.5714     15.7895         15.7895    33.3333     18.4211         18.4211    61.9048     34.2105         34.2105   -80.2543    1.18466    35.3924        3.34341                   0    3.92628           0  -0.142958   -6.21454            0                     0   -10.6908                   1.59749   -52.6234              0   -51.6978           0   -18.7155   -97.7518   -11.8153   -1.85983                0              -14.174                      -15.776         -13.4316               1.00817         17.1093                      -3.31204          0         -75.78         -76    -46.821              4.37358                    0                  2.9218    -9.64004            0                0                                         0            -102.473       3.17226    18.3261   -2.71177   -5.42057   -604.951 
example/example_files/input/cluster/cluster_0005_final.pdb         76         42         42          12           30          5          1          4     30.662   0.403447   0.403447    15.6716    11.0092       6.25   0.211659    0.14182  0.0758006          0            0            0     0.552632    9.21293    16.2701    51.7857     28.6184         28.6184    28.5714     15.7895         15.7895    30.9524     17.1053         17.1053    69.0476     38.1579         38.1579    78.5714     43.4211         43.4211   -68.7638    4.79332     91.069        5.24329                   0    2.21472           0   -2.07558    -7.1562            0                     0   -10.7189                         0   -52.6234              0   -51.6978           0   -20.5898    -99.319   -21.2446   -1.79882                0             -21.4491                     -30.1142          4.40228              -2.40341        -19.8691                      -4.23728          0         -75.78         -76   -49.5531              2.85604                    0                0.826221    -9.66815            0                0                                         0            -102.499       2.67916    18.2402   -4.33698   -2.34707   -601.921 
example/example_files/input/cluster/cluster_0006_final.pdb         76         42         42          12           30          5          1          4    29.4085   0.386953   0.386953    8.95522    3.66972       1.25   0.114185  0.0383476 -0.00398501          0            0            0     0.552632    10.8262    19.1191    39.2857     21.7105         21.7105    28.5714     15.7895         15.7895    28.5714     15.7895         15.7895     47.619     26.3158         26.3158     52.381     28.9474         28.9474    -80.019    4.19915    80.2854        3.79568                   0    1.41185           0   -1.47041   -6.56094            0                     0   -10.7079                         0   -52.6234              0   -51.6978           0   -19.8319   -102.978   -18.9498    5.43726                0              1.61228                     -3.95652         -14.2333               2.76554         33.7575                      -3.71312          0         -75.78         -76   -32.9923                    0                    0                 1.45934    -9.65716            0                0                                         0            -102.485       1.04791     19.232   -3.72734   -3.20862   -515.589 
example/example_files/input/cluster/cluster_0007_final.pdb         76         42         42          12           30          5          1          4    31.1351   0.409673   0.409673    8.95522    4.58716       1.25   0.112179  0.0524397 -0.00820933          0            0            0     0.552632    11.0197    19.4608    36.9048     20.3947         20.3947    28.5714     15.7895         15.7895    30.9524     17.1053         17.1053    33.3333     18.4211         18.4211    54.7619     30.2632         30.2632   -56.9188    5.15741    105.087        5.12982                   0    2.84755           0   -1.47042   -6.56225            0                     0   -10.7215                         0   -52.6234              0   -51.6978           0   -16.8595    -97.716   -11.1433  -0.830171                0             -14.4881                     -7.11438          9.60953               6.82499         26.9496                      -2.62615          0         -75.78         -76   -34.9749                    1                    0                 1.52092    -9.67069            0                0                                         0            -102.497       0.13781    17.3411   -2.58333   -2.40955   -453.082 
example/example_files/input/cluster/cluster_0008_final.pdb         76         42         42          12           30          5          1          4    30.8243   0.405583   0.405583    14.9254    11.9266      16.25   0.193312   0.162397   0.204526          0            0            0     0.552632    7.50517    13.2542    49.4048     27.3026         27.3026    28.5714     15.7895         15.7895    30.9524     17.1053         17.1053    54.7619     30.2632         30.2632    83.3333     46.0526         46.0526   -69.1108    2.55517     51.777        3.48747                   0    3.02049           0   -0.79188    -5.8745            0                     0     -10.72                  0.927965   -52.6234              0   -51.6978           0   -19.4908   -98.7848   -7.69125    6.51289                0             -7.27963                      5.74033          1.12748               2.76554         62.0864                      -3.25586          0         -75.78         -76   -49.4881              4.67655                    0                 1.93844     -9.6692            0                0                                         0            -102.496       2.12979    18.2933     -2.562   -2.03445   -478.311 
example/example_files/input/cluster/cluster_0009_final.pdb         76         42         42          12           30          5          1          4    29.6944   0.390716   0.390716    22.3881    21.1009       27.5   0.298657   0.303164   0.378185          0            0            0     0.552632     9.8628    17.4178    44.0476     24.3421         24.3421    30.9524     17.1053         17.1053    30.9524     17.1053         17.1053         50     27.6316         27.6316    64.2857     35.5263         35.5263   -74.8746    4.89748    91.8497         5.4339                   0    1.14849           0   -1.38652   -5.94789            0                     0   -10.7366                         0   -52.6234              0   -51.6978           0   -21.0505   -102.207   -20.7151    2.40172                0              29.8681                      5.51647          16.4883               12.6532         50.6933                       -2.7986          0         -75.78         -76   -48.5915                    5                    0                 1.23739     -9.6858            0                0                                         0            -102.508       1.34757    18.2644   -4.58612   -2.51306   -416.902 
example/example_files/input/cluster/cluster_0010_final.pdb         76         42         42          12           30          5          1          4    31.3662   0.412713   0.412713    23.1343    20.1835      21.25   0.317615   0.276372   0.283039          0            0            0     0.552632    11.0423    19.5007     39.881     22.0395         22.0395    28.5714     15.7895         15.7895    30.9524     17.1053         17.1053    38.0952     21.0526         21.0526    61.9048     34.2105         34.2105   -63.7283    4.01812    79.1806        4.21964                   0   0.443836           0   -2.34251   -6.59639            0                     0   -10.7819                         0   -52.6234              0   -51.6978           0   -21.3908   -96.8799   -13.6846   -2.52113                0              3.60928                     -18.7549          16.4883               12.6532         18.8198                       -2.7986          0         -75.78         -76   -25.4818              6.25486                    0                 0.24667    -9.73116            0                0                                         0            -102.554     -0.180775      18.57   -3.46105   -2.57851   -475.063 
